,full_name,company,selling_price,year,km_driven,owner_type,fuel_type,transmission_type
0,Maruti Alto Std,Maruti,120000,2012,120000,First Owner,Petrol,Manual
1,Hyundai Grand i10,Hyundai,550000,2016,20000,First Owner,Petrol,Manual
2,Hyundai i20 Asta,Hyundai,215000,2010,60000,First Owner,Petrol,Manual
3,Maruti Alto K10,Maruti,225999,2012,37000,First Owner,Petrol,Manual
4,Ford Ecosport 2015-2021,Ford,570000,2015,30000,First Owner,Diesel,Manual
5,Maruti Wagon R,Maruti,350000,2013,35000,First Owner,Petrol,Manual
6,Hyundai i10 Sportz,Hyundai,315000,2013,40000,First Owner,Petrol,Manual
7,Maruti Wagon R,Maruti,409999,2018,17512,First Owner,Petrol,Manual
8,Hyundai Venue SX,Hyundai,1050000,2019,20000,First Owner,Petrol,Automatic
9,Mahindra TUV 300,Mahindra,575000,2017,70000,First Owner,Diesel,Manual
10,Tata Indigo LX,Tata,305000,2015,50000,First Owner,Diesel,Manual
12,Maruti Swift VXI,Maruti,511000,2017,28321,First Owner,Petrol,Manual
13,Nissan Micra XL,Nissan,409999,2016,27000,First Owner,Petrol,Automatic
14,Hyundai Verna 1.6,Hyundai,425000,2013,65278,First Owner,Diesel,Manual
15,Renault Duster 110PS,Renault,750000,2016,50000,First Owner,Diesel,Manual
17,Maruti Ciaz ZDi,Maruti,650000,2016,76000,First Owner,Diesel,Manual
18,Maruti Swift VDI,Maruti,627000,2016,20000,First Owner,Diesel,Manual
19,Mercedes-Benz C-Class C,Mercedes-Benz,1425000,2014,65000,First Owner,Diesel,Automatic
20,Maruti Swift VDI,Maruti,425000,2014,62200,First Owner,Diesel,Manual
21,Toyota Innova 2.5,Toyota,605000,2013,110000,First Owner,Diesel,Manual
22,Maruti Baleno Zeta,Maruti,600000,2015,20000,First Owner,Petrol,Manual
23,Maruti Swift Dzire,Maruti,575000,2016,40000,First Owner,Petrol,Manual
24,Fiat Grande Punto,Fiat,260000,2012,97000,First Owner,Diesel,Manual
25,Volkswagen Vento 1.6,Volkswagen,425000,2013,47000,First Owner,Petrol,Manual
26,Maruti Alto K10,Maruti,229999,2013,25000,First Owner,Petrol,Manual
29,Honda City i,Honda,750000,2015,50000,First Owner,Petrol,Manual
30,Mahindra Bolero SLE,Mahindra,350000,2011,25000,First Owner,Diesel,Manual
31,Maruti Swift Dzire,Maruti,600000,2015,90000,First Owner,Diesel,Manual
32,Maruti Swift Dzire,Maruti,390000,2013,45000,First Owner,Diesel,Manual
33,Honda City 2017-2020,Honda,145000,2007,77253,First Owner,Petrol,Manual
